id,role,short_profile
1,ML Student,Very cool recommender system.
2,Product Manager,"UX design based project, searching for management and other such stuff."
3,Game Developer,unity development with 2d or 3d shooters.
4,Fitness Coach,fitness app for everyone and personalization.
5,Event Organizer / DevOps,some docker and devops stuff that we really like.
6,DevOps Engineer,Looking for online code editor projects or similar technology stack.
7,Mobile Dev,Looking for task management tool projects or similar technology stack.
8,Game Designer,Looking for news aggregator projects or similar technology stack.
9,UI/UX Designer,Looking for react native app projects or similar technology stack.
10,Mobile Dev,Looking for nft marketplace projects or similar technology stack.
11,Product Owner,Looking for operating system kernel projects or similar technology stack.
12,Mobile Dev,Looking for react native app projects or similar technology stack.
13,Backend Dev,Looking for e-commerce website projects or similar technology stack.
14,ML Engineer,Looking for freelance marketplace projects or similar technology stack.
15,Frontend Dev,Looking for robotics control projects or similar technology stack.
16,Fullstack Dev,Looking for e-commerce website projects or similar technology stack.
17,DevOps Engineer,Looking for language learning projects or similar technology stack.
18,DevOps Engineer,Looking for cloud storage projects or similar technology stack.
19,UI/UX Designer,Looking for operating system kernel projects or similar technology stack.
20,Researcher,Looking for game development unity projects or similar technology stack.
21,Game Designer,Looking for task management tool projects or similar technology stack.
22,Researcher,Looking for python web framework projects or similar technology stack.
23,UI/UX Designer,Looking for recommendation engine projects or similar technology stack.
24,DevOps Engineer,Looking for distributed system consensus projects or similar technology stack.
25,Backend Dev,Looking for fitness tracker app projects or similar technology stack.
26,Data Scientist,Looking for smart home automation projects or similar technology stack.
27,Security Specialist,Looking for network protocol analyzer projects or similar technology stack.
28,QA Engineer,Looking for iot devices projects or similar technology stack.
29,Game Designer,Looking for augmented reality map projects or similar technology stack.
30,Product Owner,Looking for social network for pets projects or similar technology stack.
31,Security Specialist,Looking for productivity timer projects or similar technology stack.
32,UI/UX Designer,Looking for music recommendation system projects or similar technology stack.
33,Project Manager,Looking for educational platform projects or similar technology stack.
34,UI/UX Designer,Looking for crypto trading bot projects or similar technology stack.
35,Game Designer,Looking for educational platform projects or similar technology stack.
36,Researcher,Looking for language learning projects or similar technology stack.
37,Backend Dev,Looking for language learning projects or similar technology stack.
38,Data Scientist,Looking for language learning projects or similar technology stack.
39,Frontend Dev,Looking for recommendation engine projects or similar technology stack.
40,Project Manager,Looking for productivity timer projects or similar technology stack.
41,Frontend Dev,Looking for python web framework projects or similar technology stack.
42,DevOps Engineer,Looking for food delivery service projects or similar technology stack.
43,System Analyst,Looking for dating app projects or similar technology stack.
44,Data Scientist,Looking for augmented reality map projects or similar technology stack.
45,System Analyst,Looking for distributed system consensus projects or similar technology stack.
46,Product Owner,Looking for machine learning for healthcare projects or similar technology stack.
47,Fullstack Dev,Looking for weather app projects or similar technology stack.
48,UI/UX Designer,Looking for music recommendation system projects or similar technology stack.
49,QA Engineer,Looking for food delivery service projects or similar technology stack.
50,Game Designer,Looking for news aggregator projects or similar technology stack.
51,Backend Dev,Looking for computer vision surveillance projects or similar technology stack.
52,Product Owner,Looking for real estate aggregator projects or similar technology stack.
53,System Analyst,Looking for note taking app projects or similar technology stack.
54,System Analyst,Looking for docker kubernetes devops projects or similar technology stack.
55,Product Owner,Looking for video streaming service projects or similar technology stack.
